trip_id,route_id,service_id,direction_id,shape_id,trip_headsign,trip_short_name,wheelchair_accessible,bikes_allowed,block_id,trip_headsign_code
Sunday-Su-33-A-OB-1450-0005aa7,33,Sunday,0,33-A-OB,To The Hub,33,0,0,,
Saturday-Sa-37-A-OB-0755-002012f,37,Saturday,0,37-A-OB,To Butler Plaza,37,0,0,,
Reduced_Service-Weekday-9-A-OB-1453-002096f,9,Reduced_Service,0,9-A-OB,To Hunters Run,9,0,0,,
Saturday-Sa-12-A-OB-0850-0062aa9,12,Saturday,0,12-A-OB,To Dollar General,12,0,0,,
Reduced_Service-Weekday-12-A-IB-2022-0063969,12,Reduced_Service,1,12-A-IB,To The Hub,12,0,0,,
Reduced_Service-Weekday-37-A-OB-1155-0072e63,37,Reduced_Service,0,37-A-OB,To Butler Plaza,37,0,0,,
Sunday-Su-20-A-OB-1706-009b17c,20,Sunday,0,20-A-OB,To Reitz Union,20,0,0,,
Weekday-Weekday-1-A-IB-1003-009ed5c,1,Weekday,1,1-A-IB,To Downtown Station,1,0,0,,
Weekday-Weekday-38-A-IB-0918-00c71fb,38,Weekday,1,38-A-IB,To The Hub,38,0,0,,
Reduced_Service-Weekday-33-A-OB-0900-00db286,33,Reduced_Service,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-75-A-OB-0745-00e46aa,75,Weekday,0,75-A-OB,To Butler Plaza,75,0,0,,
Reduced_Service-Weekday-6-A-IB-1028-00e5d73,6,Reduced_Service,1,6-A-IB,To Downtown Station,6,0,0,,
Reduced_Service-Weekday-37-A-IB-0730-0113272,37,Reduced_Service,1,37-A-IB,To Reitz Union,37,0,0,,
Sunday-Su-20-A-IB-1742-011dbf1,20,Sunday,1,20-A-IB,To Oaks Mall,20,0,0,,
Saturday-Sa-20-A-OB-1630-012a492,20,Saturday,0,20-A-OB,To Reitz Union,20,0,0,,
Saturday-Sa-15-A-IB-1127-013a779,15,Saturday,1,15-A-IB,To Downtown Station,13,0,0,,
Reduced_Service-Weekday-1-A-OB-0854-013fda8,1,Reduced_Service,0,1-A-OB,To Butler Plaza,1,0,0,,
Sunday-Su-9-A-IB-1600-014bb01,9,Sunday,1,9-A-IB,To The Hub,9,0,0,,
Weekday-Weekday-17-A-IB-0832-01516bc,17,Weekday,1,17-A-IB,To Beaty Towers,17,0,0,,
Sunday-Su-26-A-IB-1430-019467b,26,Sunday,1,26-A-IB,To Downtown Station,26,0,0,,
Saturday-Sa-15-A-IB-1344-019fb5a,15,Saturday,1,15-A-IB,To Downtown Station,13,0,0,,
Reduced_Service-Weekday-52-A-OB-1000-01a3fc7,52,Reduced_Service,0,52-A-OB,To Jonesville,52,0,0,,
Weekday-Weekday-26-A-IB-1827-01aa4f5,26,Weekday,1,26-A-IB,To Downtown Station,26,0,0,,
Reduced_Service-Weekday-13-A-IB-1810-01b978d,13,Reduced_Service,1,13-A-IB,To US 441,13,0,0,,
Reduced_Service-Weekday-5-A-IB-1052-01caefe,5,Reduced_Service,1,5-A-IB,To Downtown Station,5,0,0,,
Weekday-Weekday-37-A-IB-0730-021874f,37,Weekday,1,37-A-IB,To Reitz Union,37,0,0,,
Saturday-Sa-9-A-OB-1623-0228994,9,Saturday,0,9-A-OB,To Hunters Run,9,0,0,,
Reduced_Service-Weekday-13-A-IB-1925-023a6c3,13,Reduced_Service,1,13-A-IB,To US 441,13,0,0,,
Reduced_Service-Weekday-9-A-OB-0938-023ae29,9,Reduced_Service,0,9-A-OB,To Hunters Run,9,0,0,,
Weekday-Weekday-37-A-OB-1825-024a2db,37,Weekday,0,37-A-OB,To Butler Plaza,37,0,0,,
Reduced_Service-Weekday-75-A-OB-1345-0260d0c,75,Reduced_Service,0,75-A-OB,To Butler Plaza,75,0,0,,
Sunday-Su-9-A-OB-1623-0265e80,9,Sunday,0,9-A-OB,To Hunters Run,9,0,0,,
Saturday-Sa-9-A-OB-1708-0273c59,9,Saturday,0,9-A-OB,To Hunters Run,9,0,0,,
Weekday-Weekday-37-A-IB-1345-029ac20,37,Weekday,1,37-A-IB,To Reitz Union,37,0,0,,
